Site,Manufacturer,Year,Processor,Accelerator/Co-Processor,Cores per Socket,Total Cores,Accelerator/Co-Processor Cores
Naval Research Laboratory (NRL),EXXACT Corporation,2015,Intel Xeon E5-2620v2 6C 2.1GHz,Nvidia Titan Black,6,7920,7200
National Centre for Nuclear Research,"Format, Bull, Atos Group",2015,Intel Xeon E5-2680v2  10C 2.8GHz,None,10,17960,0
"Information Technology Center, Nagoya University",Fujitsu,2015,SPARC64 XIfx 32C 2.2GHz,None,32,92160,0
National Institute for Fusion Science (NIFS),Fujitsu,2015,SPARC64 XIfx  32C 1.98GHz,None,32,82944,0
Japan Aerospace eXploration Agency,Fujitsu,2015,SPARC64 XIfx  32C 1.98GHz,None,32,41472,0
"Advanced Center for Computing and Communication, RIKEN",Fujitsu,2015,SPARC64 XIfx  32C 1.98GHz,None,32,34560,0
"Meteorological Research Institute, Japan Meteorological Agency",Fujitsu,2015,SPARC64 XIfx  32C 1.98GHz,None,32,34560,0
"Information Technology Center, Nagoya University",Fujitsu,2015,Xeon E5-2697v3 14C 2.6GHz,None,14,11060,0
King Abdulaziz University,Fujitsu,2015,Intel Xeon E5-2695v2 12C 2.4GHz,None,12,11904,0
Government,Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,57600,0
Cyfronet,Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,NVIDIA Tesla K40,12,55728,2160
IT Provider (P),Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,28800,0
Trading Company,Hewlett-Packard,2015,Xeon E5-2640v3 8C 2.6GHz,None,8,36800,0
Intel,Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,30672,0
IT Provider (P),Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,19776,0
Hosting Services,Hewlett-Packard,2015,Intel Xeon E5-2650v2  8C 2.6GHz,None,8,51200,0
Web Company (F),Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,None,12,17280,0
Hosting Services,Hewlett-Packard,2015,Intel Xeon E5-2650v2  8C 2.6GHz,None,8,44832,0
Indian Institute of Technology Delhi,Hewlett-Packard,2015,Xeon E5-2680v3 12C 2.5GHz,NVIDIA Tesla K40m,12,22572,4830
